filename,item_id,order,devoiced
161_sayuri0718_6,6,3,NA
161_sayuri0718_7,7,1,NA
161_sayuri0718_7,7,2,NA
161_sayuri0718_7,7,3,NA
161_sayuri0718_8,8,1,NA
161_sayuri0718_8,8,2,NA
161_sayuri0718_8,8,3,NA
165_K,K,1,NA
165_K,K,1,NA
165_K,K,1,NA
165_K,K,1,NA
165_K,K,1,NA
165_K,K,1,NA
165_K,K,1,NA
165_K,K,1,NA
165_K,K,2,NA
165_K,K,2,NA
165_K,K,2,NA
165_K,K,2,NA
165_K,K,2,NA
165_K,K,2,NA
165_K,K,2,NA
165_K,K,2,NA
165_K,K,3,NA
165_K,K,3,NA
165_K,K,3,NA
165_K,K,3,NA
165_K,K,3,NA
165_K,K,3,NA
165_K,K,3,NA
165_K,K,3,NA
167_fukan12_1,1,1,NA
167_fukan12_1,1,2,NA
167_fukan12_1,1,3,NA
167_fukan12_2,2,1,NA
167_fukan12_2,2,2,NA
167_fukan12_2,2,3,NA
167_fukan12_3,3,1,NA
167_fukan12_3,3,2,NA
167_fukan12_3,3,3,NA
167_fukan12_4,4,1,NA
167_fukan12_4,4,2,NA
167_fukan12_4,4,3,NA
167_fukan12_5,5,1,NA
167_fukan12_5,5,2,NA
167_fukan12_5,5,3,NA
167_fukan12_6,6,1,NA
167_fukan12_6,6,2,NA
167_fukan12_6,6,3,NA
167_fukan12_7,7,1,NA
167_fukan12_7,7,2,NA
167_fukan12_7,7,3,NA
167_fukan12_8,8,1,NA
167_fukan12_8,8,2,NA
167_fukan12_8,8,3,NA
170_1003_1,1,1,NA
170_1003_1,1,2,NA
170_1003_1,1,3,NA
170_1003_2,2,1,NA
170_1003_2,2,2,NA
170_1003_2,2,3,NA
170_1003_3,3,1,NA
170_1003_3,3,2,NA
170_1003_3,3,3,NA
170_1003_4,4,1,NA
170_1003_4,4,2,NA
170_1003_4,4,3,NA
170_1003_5,5,1,NA
170_1003_5,5,2,NA
170_1003_5,5,3,NA
170_1003_6,6,1,NA
170_1003_6,6,2,NA
170_1003_6,6,3,NA
170_1003_7,7,1,NA
170_1003_7,7,2,NA
170_1003_7,7,3,NA
170_1003_8,8,1,NA
170_1003_8,8,2,NA
170_1003_8,8,3,NA
176_syuzoku_1,1,1,NA
176_syuzoku_1,1,2,NA
176_syuzoku_1,1,3,NA
176_syuzoku_2,2,1,NA
176_syuzoku_2,2,2,NA
176_syuzoku_2,2,3,NA
176_syuzoku_3,3,1,NA
176_syuzoku_3,3,2,NA
176_syuzoku_3,3,3,NA
176_syuzoku_4,4,1,NA
176_syuzoku_4,4,2,NA
176_syuzoku_4,4,3,NA
176_syuzoku_5,5,1,NA
176_syuzoku_5,5,2,NA
176_syuzoku_5,5,3,NA
176_syuzoku_6,6,1,NA
176_syuzoku_6,6,2,NA
176_syuzoku_6,6,3,NA
176_syuzoku_7,7,1,NA
176_syuzoku_7,7,2,NA
176_syuzoku_7,7,3,NA
176_syuzoku_8,8,1,NA
176_syuzoku_8,8,2,NA
176_syuzoku_8,8,3,NA
177_0010_1,1,1,NA
177_0010_1,1,2,NA
177_0010_1,1,3,NA
177_0010_2,2,1,NA
177_0010_2,2,2,NA
177_0010_2,2,3,NA
177_0010_3,3,1,NA
177_0010_3,3,2,NA
177_0010_3,3,3,NA
177_0010_4,4,1,NA
177_0010_4,4,2,NA
177_0010_4,4,3,NA
177_0010_5,5,1,NA
177_0010_5,5,2,NA
177_0010_5,5,3,NA
177_0010_6,6,1,NA
177_0010_6,6,2,NA
177_0010_6,6,3,NA
177_0010_7,7,1,NA
177_0010_7,7,2,NA
177_0010_7,7,3,NA
177_0010_8,8,1,NA
177_0010_8,8,2,NA
177_0010_8,8,3,NA
181_Ralphy_1,1,1,NA
181_Ralphy_1,1,2,NA
181_Ralphy_1,1,3,NA
181_Ralphy_2,2,1,NA
181_Ralphy_2,2,2,NA
181_Ralphy_2,2,3,NA
181_Ralphy_3,3,1,NA
181_Ralphy_3,3,2,NA
181_Ralphy_3,3,3,NA
181_Ralphy_4,4,1,NA
181_Ralphy_4,4,2,NA
181_Ralphy_4,4,3,NA
181_Ralphy_5,5,1,NA
181_Ralphy_5,5,2,NA
181_Ralphy_5,5,3,NA
